id,site,gender,length (mm),weight (g)
1,DGB2016,F,39.0,17.0
2,DGB2016,F,37.0,15.4
3,DGB2016,F,42.0,19.5
4,DGB2016,F,38.0,14.1
5,DGB2016,F,35.0,10.9
6,DGB2016,M,56.0,55.8
7,DGB2016,F,31.0,8.5
8,DGB2016,F,24.0,4.1
9,DGB2016,M,27.0,5.1
10,DGB2016,F,27.0,5.2
11,DGB2016,F,25.0,3.4
12,DGB2016,M,25.0,3.9
13,DGB2016,F,22.0,3.1
14,DGB2016,F,24.0,3.7
15,DGB2016,F,18.0,1.1
16,DGB2016,M,31.0,6.3
17,DGB2016,M,29.0,6.1
18,DGB2016,F,24.0,4.2
19,DGB2016,M,37.0,16.0
20,DGB2016,M,30.0,6.9
21,DGB2016,M,27.0,6.3
22,DGB2016,F,27.0,5.6
23,DGB2016,F,24.0,3.3
24,DGB2016,M,23.0,2.7
25,DGB2016,F,16.0,1.0
26,DGB2016,M,17.0,1.3
27,DGB2016,F,16.0,1.1
28,DGB2016,F,18.0,1.4
29,DGB2016,M,15.0,0.7
30,DGB2016,M,19.0,1.7
31,DGB2016,F,18.0,1.2
32,DGB2016,F,29.0,7.2
33,DGB2016,M,30.0,7.1
34,DGB2016,F,24.0,3.7
35,DGB2016,M,21.0,2.7
36,DGB2016,M,17.0,1.3
37,DGB2016,M,26.0,4.3
38,DGB2016,F,23.0,3.3
39,DGB2016,M,25.0,4.0
40,DGB2016,F,25.0,4.1
41,DGB2016,M,21.0,3.2
42,DGB2016,M,18.0,1.6
43,DGB2016,M,26.0,4.0
44,DGB2016,M,26.0,4.9
45,DGB2016,M,24.0,3.6
46,DGB2016,M,18.0,1.5
47,DGB2016,F,19.0,1.6
48,DGB2016,M,18.0,1.5
49,DGB2016,F,18.0,1.6
50,DGB2016,F,17.0,1.6
51,DGB2016,F,15.0,0.8
52,DGB2016,M,16.0,1.1
53,DGB2016,F,18.0,1.6
54,DGB2016,M,21.0,2.2
55,DGB2016,M,16.0,0.9
56,DGB2016,F,20.0,1.8
57,DGB2016,F,15.0,0.8
58,DGB2016,M,15.0,0.8
59,DGB2016,M,18.0,1.2
60,DGB2016,M,15.0,0.9
61,DGB2016,F,16.0,1.0
62,DGB2016,M,14.0,0.6
